Study,File,Variable,Variable Label,Type,N Non-missing,N Missing,Lowest Value,10% Value,20% Value,30% Value,40% Value,50% Value,60% Value,70% Value,80% Value,90% Value,Highest Value
EMD_NCT01016483_1_mek,MH,MHHLGTCD,High Level Group Term Code,Num,226,44,10000073,10004018,10012375,10017628,10018012,10018073,10019654,10028393,10040991,10057166,10071940
EMD_NCT01016483_1_mek,MH,MHCAT,Category for Medical History,Char,270,0,DISEASE HISTORY,DISEASE HISTORY,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION,UNRELATED TO STUDY CONDITION
EMD_NCT01016483_1_mek,MH,MHBODSYS,Body System or Organ Class,Char,226,44,Blood and lymphatic system disorders,Eye disorders,Gastrointestinal disorders,Gastrointestinal disorders,Infections and infestations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,Psychiatric disorders,Skin and subcutaneous tissue disorders,Vascular disorders,Vascular disorders
EMD_NCT01016483_1_mek,MH,MHBDSYCD,Body System or Organ Class Code,Num,226,44,10005329,10015919,10017947,10017947,10021881,10027433,10028395,10037175,10040785,10047065,10047065
EMD_NCT01016483_1_mek,MH,MHSOC,Primary System Organ Class,Char,226,44,Blood and lymphatic system disorders,Eye disorders,Gastrointestinal disorders,Gastrointestinal disorders,Infections and infestations,Metabolism and nutrition disorders,Musculoskeletal and connective tissue disorders,Psychiatric disorders,Skin and subcutaneous tissue disorders,Vascular disorders,Vascular disorders
EMD_NCT01016483_1_mek,MH,MHSOCCD,Primary System Organ Class Code,Num,226,44,10005329,10015919,10017947,10017947,10021881,10027433,10028395,10037175,10040785,10047065,10047065
EMD_NCT01016483_1_mek,MH,MHREL,Causality,Char,226,44,NOT RELATED TO STUDY CONDITION,NOT RELATED TO STUDY CONDITION,NOT RELATED TO STUDY CONDITION,NOT RELATED TO STUDY CONDITION,NOT RELATED TO STUDY CONDITION,NOT RELATED TO STUDY CONDITION,NOT RELATED TO STUDY CONDITION,NOT RELATED TO STUDY CONDITION,RELATED TO STUDY CONDITION,RELATED TO STUDY CONDITION,UNKNOWN RELATIONSHIP TO STUDY CONDITION
EMD_NCT01016483_1_mek,MH,MHTOXGR,Standard Toxicity Grade,Char,138,132,1,1,1,1,1,1,1,2,2,2,3
EMD_NCT01016483_1_mek,MH,ETCD,Element Code,Char,7,263,SCRN,,,SCRN,,SCRN,SCRN,,SCRN,SCRN,SCRN
EMD_NCT01016483_1_mek,MH,ELEMENT,Description of Element,Char,7,263,Screening,,,Screening,,Screening,Screening,,Screening,Screening,Screening
EMD_NCT01016483_1_mek,MH,EPOCH,Epoch,Char,7,263,SCREENING,,,SCREENING,,SCREENING,SCREENING,,SCREENING,SCREENING,SCREENING
EMD_NCT01016483_1_mek,MH,MHSTDTC,Start Date/Time of Medical History Event,Char,270,0,******,1984,2001,2007,2011-02,2012-08-20,2013-02-07,2013-05,2013-06,2013-06-27,2013-09-29
EMD_NCT01016483_1_mek,MH,MHENDTC,End Date/Time of Medical History Event,Char,270,0,******,******,******,******,******,******,******,******,2004,2013-02,2013-10-22
EMD_NCT01016483_1_mek,MH,MHSTDY,Study Day of Start of History Event,Num,103,167,-5354,-1288,-487,-139,-60,-49,-35,-26,-20,-12,-3
EMD_NCT01016483_1_mek,MH,MHENDY,Study Day of End of History Event,Num,23,247,-5344,-2596,-1328,-358,-105,-35,-1,1,8,20,120
EMD_NCT01016483_1_mek,MH,MHENRTPT,End Relative to Reference Time Point,Char,218,52,BEFORE,BEFORE,BEFORE,BEFORE,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING,ONGOING
EMD_NCT01016483_1_mek,MH,MHENTPT,End Reference Time Point,Char,218,52,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING,SCREENING
EMD_NCT01016483_1_mek,RS,STUDYID,Study Identifier,Char,425,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,RS,DOMAIN,Domain Abbreviation,Char,425,0,RS,RS,RS,RS,RS,RS,RS,RS,RS,RS,RS
EMD_NCT01016483_1_mek,RS,USUBJID,Unique Subject Identifier,Char,425,0,1,5,7,8,17,21,26,34,37,41,44
EMD_NCT01016483_1_mek,RS,RSSEQ,Sequence Number,Num,425,0,1,2,3,4,6,8,11,14,18,23,44
EMD_NCT01016483_1_mek,RS,RSGRPID,Group ID,Char,425,0,CYCLE 1,CYCLE 1,CYCLE 1,CYCLE 1,CYCLE 3,CYCLE 3,CYCLE 5,CYCLE 7,CYCLE 9,MONOTHERAPY CYCLE 2,UNSCHEDULED 02
EMD_NCT01016483_1_mek,RS,RSLNKGRP,Link Group,Char,425,0,NEWCYCLE 1,NEWCYCLE 21,NEWCYCLE 9,NTCYCLE 1,NTCYCLE 5,NTUNSCHEDULED 01,OVRLCYCLE 15,OVRLCYCLE 7,TCYCLE 1,TCYCLE 5,TUNSCHEDULED 02
EMD_NCT01016483_1_mek,RS,RSTESTCD,Response Assessment Short Name,Char,425,0,NEWLES,NEWLES,NEWLES,NTRGRESP,NTRGRESP,NTRGRESP,OVRLRESP,OVRLRESP,TRGRESP,TRGRESP,TRGRESP
EMD_NCT01016483_1_mek,RS,RSTEST,Response Assessment Name,Char,425,0,New Lesion,New Lesion,New Lesion,Non-target Response,Non-target Response,Non-target Response,Overall Response,Overall Response,Target Response,Target Response,Target Response
EMD_NCT01016483_1_mek,RS,RSCAT,Category for Response Assessment,Char,425,0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0,RECIST 1.0
EMD_NCT01016483_1_mek,RS,RSORRES,Response Assessment Result,Char,425,0,COMPLETE RESPONSE,N,NON-COMPLETE RESPONSE/STABLE DISEASE,NON-COMPLETE RESPONSE/STABLE DISEASE,NOT ASSESSABLE,PROGRESSIVE DISEASE,PROGRESSIVE DISEASE,STABLE DISEASE,STABLE DISEASE,STABLE DISEASE,Y
EMD_NCT01016483_1_mek,RS,RSSTRESC,Response Assessment Result Std. Format,Char,425,0,CR,N,NON-CR/SD,NON-CR/SD,NOT ASSESSABLE,PD,PR,SD,SD,SD,Y
EMD_NCT01016483_1_mek,RS,VISITNUM,Visit Number,Num,425,0,156,156,156,156,328,328,528,728,1128,16777,99994
EMD_NCT01016483_1_mek,RS,VISIT,Visit Name,Char,425,0,CYCLE 1 DAY 56,CYCLE 1 DAY 56,CYCLE 1 DAY 56,CYCLE 1 DAY 56,CYCLE 3 DAY 1 UNSCHEDULED 1,CYCLE 3 DAY 28,CYCLE 4 DAY 22 UNSCHEDULED 1,CYCLE 5 DAY 28,CYCLE 7 DAY 28,END OF TREATMENT,STUDY TERMINATION UNSCHEDULED 1
EMD_NCT01016483_1_mek,RS,VISITDY,Planned Study Day of Visit,Num,365,60,56,56,56,56,112,112,168,224,280,392,2056
EMD_NCT01016483_1_mek,RS,ETCD,Element Code,Char,425,0,FU,PTP,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA,TRT_PLA
EMD_NCT01016483_1_mek,RS,ELEMENT,Description of Element,Char,425,0,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Post Treatment Period,Post Treatment Period
EMD_NCT01016483_1_mek,RS,EPOCH,Epoch,Char,425,0,FOLLOW-UP,POST TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,RS,RSDTC,Date/Time of Response Assessment,Char,425,0,2013-02-20,2013-07-07,2013-08-27,2013-09-18,2013-10-20,2013-11-25,2013-12-18,2014-01-31,2014-03-27,2014-06-18,2015-02-09
EMD_NCT01016483_1_mek,RS,RSDY,Study Day of Response Assessment,Num,425,0,17,50,52,57,106,114,164,218,241,338,611
EMD_NCT01016483_1_mek,SC,STUDYID,Study Identifier,Char,42,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SC,DOMAIN,Domain Abbreviation,Char,42,0,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC,SC
EMD_NCT01016483_1_mek,SC,USUBJID,Unique Subject Identifier,Char,42,0,1,4,8,12,16,23,27,31,35,39,44
EMD_NCT01016483_1_mek,SC,SCSEQ,Sequence Number,Num,42,0,1,1,1,1,1,1,1,1,1,1,1
EMD_NCT01016483_1_mek,SC,SCTESTCD,Subject Characteristic Short Name,Char,42,0,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE,STAGE
EMD_NCT01016483_1_mek,SC,SCTEST,Subject Characteristic,Char,42,0,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis,Stage at Initial Diagnosis
EMD_NCT01016483_1_mek,SC,SCCAT,Category for Subject Characteristic,Char,42,0,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS,INITIAL DIAGNOSIS
EMD_NCT01016483_1_mek,SC,SCORRES,Result or Finding in Original Units,Char,42,0,II,IIB,III,IV,IV,IV,IV,IV,IV,IV,IV
EMD_NCT01016483_1_mek,SC,SCSTRESC,Character Result/Finding in Std Format,Char,42,0,II,IIB,III,IV,IV,IV,IV,IV,IV,IV,IV
EMD_NCT01016483_1_mek,SC,ETCD,Element Code,Char,4,38,SCRN,,,,,SCRN,,,SCRN,,SCRN
EMD_NCT01016483_1_mek,SC,ELEMENT,Description of Element,Char,4,38,Screening,,,,,Screening,,,Screening,,Screening
EMD_NCT01016483_1_mek,SC,EPOCH,Epoch,Char,4,38,SCREENING,,,,,SCREENING,,,SCREENING,,SCREENING
EMD_NCT01016483_1_mek,SC,SCDTC,Date/Time of Collection,Char,42,0,2011-11-20,2012-12-22,2013-03-07,2013-04-17,2013-05-07,2013-06-18,2013-06-23,2013-06-27,2013-07-26,2013-08-17,2013-09-29
EMD_NCT01016483_1_mek,SC,SCDY,Study Day of Examination,Num,40,2,-487,-118,-69,-59,-36,-35,-27,-21,-13,-7,-3
EMD_NCT01016483_1_mek,SE,STUDYID,Study Identifier,Char,195,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SE,DOMAIN,Domain Abbreviation,Char,195,0,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE,SE
EMD_NCT01016483_1_mek,SE,USUBJID,Unique Subject Identifier,Char,195,0,1,6,11,15,19,23,27,32,37,41,44
EMD_NCT01016483_1_mek,SE,SESEQ,Sequence Number,Num,195,0,1,1,1,2,2,3,3,4,4,5,7
EMD_NCT01016483_1_mek,SE,ETCD,Element Code,Char,195,0,FU,FU,MONOTHER,MSCRN,PTP,PTP,SCRN,SCRN,TRT_PLA,TRT_PLA,UNPLAN
EMD_NCT01016483_1_mek,SE,ELEMENT,Description of Element,Char,194,1,Follow-up Period,Follow-up Period,Gemcitabine and Placebo,Gemcitabine and Placebo,Gemcitabine and Placebo,Monotherapy Screening,Post Treatment Period,Post Treatment Period,Screening,Screening,Screening
EMD_NCT01016483_1_mek,SE,SESTDTC,Start Date/Time of Element,Char,195,0,2012-12-20,2013-05-06,2013-06-21,2013-07-11,2013-08-06,2013-09-04,2013-10-08,2013-10-30,2014-01-08,2014-03-12,2015-03-16
EMD_NCT01016483_1_mek,SE,SEENDTC,End Date/Time of Element,Char,195,0,******,2013-05-20,2013-07-13,2013-08-15,2013-09-26,2013-10-23,2013-11-19,2014-01-12,2014-03-12,2014-06-11,2015-03-16
EMD_NCT01016483_1_mek,SE,SESTDY,Study Day of Start of Element,Num,194,1,-33,-13,-6,1,1,29,70,110,160,239,646
EMD_NCT01016483_1_mek,SE,SEENDY,Study Day of End of Element,Num,192,3,1,1,1,29,56,86,128,177,239,330,646
EMD_NCT01016483_1_mek,SE,TAETORD,Planned Order of Elements within Arm,Num,194,1,1,1,1,2,2,3,3,4,6,7,7
EMD_NCT01016483_1_mek,SE,EPOCH,Epoch,Char,195,0,FOLLOW-UP,FOLLOW-UP,MONOTHERAPY POST TREATMENT,MONOTHERAPY TREATMENT,POST TREATMENT,POST TREATMENT,SCREENING,SCREENING,TREATMENT,TREATMENT,TREATMENT
EMD_NCT01016483_1_mek,SE,SEUPDES,Description of Unplanned Element,Char,1,194,SUBJECT TOOK SOME PIMASERTIB AND SOME PLACEBO DOSES DURING CYCLE 2,,,,,,,,,,
EMD_NCT01016483_1_mek,SUPPAE,STUDYID,Study Identifier,Char,3259,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SUPPAE,RDOMAIN,Related Domain Abbreviation,Char,3259,0,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE,AE
EMD_NCT01016483_1_mek,SUPPAE,USUBJID,Unique Subject Identifier,Char,3259,0,1,5,8,17,21,21,27,32,37,39,44
EMD_NCT01016483_1_mek,SUPPAE,IDVAR,Identifying Variable,Char,3259,0,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ,AESEQ
EMD_NCT01016483_1_mek,SUPPAE,IDVARVAL,Identifying Variable Value,Char,3259,0,1,107,13,16,2,27,34,45,6,8,99
EMD_NCT01016483_1_mek,SUPPAE,QNAM,Qualifier Variable Name,Char,3259,0,ACNCON1,ACNGEM1,ACNGEM1,ACNGEM4,AECHANGE,AESPINT,AESPINT,AESPINT,RELGEM,RELGEM,RELGEM
EMD_NCT01016483_1_mek,SUPPAE,QLABEL,Qualifier Variable Label,Char,3259,0,Action Taken with Gem 1,Action Taken with Gem 1,Action Taken with Gem 1,Adverse Event of Special Interest,Adverse Event of Special Interest,Adverse Event of Special Interest,Other Action Taken Con1,Outcome of AE: Change in Toxicity Grade,Relationship to Gemcitabine,Relationship to Gemcitabine,Relationship to Non-Study Trt 7
EMD_NCT01016483_1_mek,SUPPAE,QVAL,Data Value,Char,3259,0,?ALLERGIC TO CT/MUGA CONTRAST,CONCOMITANT MEDICATION,DOSE NOT CHANGED,DOSE NOT CHANGED,N,N,N,NOT APPLICABLE,RELATED,UNRELATED,Y
EMD_NCT01016483_1_mek,SUPPAE,QORIG,Origin,Char,3259,0,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF
EMD_NCT01016483_1_mek,SUPPAE,QEVAL,Evaluator,Char,0,3259,,,,,,,,,,,
EMD_NCT01016483_1_mek,SUPPCM,STUDYID,Study Identifier,Char,8760,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SUPPCM,RDOMAIN,Related Domain Abbreviation,Char,8760,0,CM,CM,CM,CM,CM,CM,CM,CM,CM,CM,CM
EMD_NCT01016483_1_mek,SUPPCM,USUBJID,Unique Subject Identifier,Char,8760,0,1,3,11,17,21,25,31,34,38,41,44
EMD_NCT01016483_1_mek,SUPPCM,IDVAR,Identifying Variable,Char,8760,0,CMSEQ,CMSEQ,CMSEQ,CMSEQ,CMSEQ,CMSEQ,CMSEQ,CMSEQ,CMSEQ,CMSEQ,CMSEQ
EMD_NCT01016483_1_mek,SUPPCM,IDVARVAL,Identifying Variable Value,Char,8760,0,1,11,13,17,2,24,3,4,5,7,9
EMD_NCT01016483_1_mek,SUPPCM,QNAM,Qualifier Variable Name,Char,8760,0,ATC1C,ATC1C,ATC1T,ATC2C,ATC2T,ATC3C,ATC3T,ATC4C,ATC4T,CMINDDRC,TYPEKIN
EMD_NCT01016483_1_mek,SUPPCM,QLABEL,Qualifier Variable Label,Char,8760,0,ATC1 Code,ATC1 Code,ATC1 Text,ATC2 Code,ATC2 Text,ATC3 Code,ATC3 Text,ATC4 Code,ATC4 Text,Reason Adverse Event,Surgery Outcome Other
EMD_NCT01016483_1_mek,SUPPCM,QVAL,Data Value,Char,8760,0,%,A04,ADVERSE EVENT,ANILIDES,B,CALCIUM CHANNEL BLOCKERS,GR/10ML,MEDICAL HISTORY,NERVOUS SYSTEM,PROPULSIVES,Y
EMD_NCT01016483_1_mek,SUPPCM,QORIG,Origin,Char,8760,0,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF,CRF
EMD_NCT01016483_1_mek,SUPPCM,QEVAL,Evaluator,Char,0,8760,,,,,,,,,,,
EMD_NCT01016483_1_mek,SUPPDS,STUDYID,Study Identifier,Char,246,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SUPPDS,RDOMAIN,Related Domain Abbreviation,Char,246,0,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS,DS
EMD_NCT01016483_1_mek,SUPPDS,USUBJID,Unique Subject Identifier,Char,246,0,1,5,10,14,18,24,28,33,37,41,44
EMD_NCT01016483_1_mek,SUPPDS,IDVAR,Identifying Variable,Char,246,0,DSSEQ,DSSEQ,DSSEQ,DSSEQ,DSSEQ,DSSEQ,DSSEQ,DSSEQ,DSSEQ,DSSEQ,DSSEQ
EMD_NCT01016483_1_mek,SUPPDS,IDVARVAL,Identifying Variable Value,Char,246,0,1,1,10,3,3,3,3,5,6,6,9
EMD_NCT01016483_1_mek,SUPPDS,QNAM,Qualifier Variable Name,Char,246,0,AUTOPFL,AUTOPFL,IVRANDDT,IVRANDDT,IVRANDNO,IVRANDNO,TTPROGCD,TTPROGDT,TTPROGDT,TTTXGMDT,TTTXGMDT
EMD_NCT01016483_1_mek,SUPPDS,QLABEL,Qualifier Variable Label,Char,246,0,Autopsy Performed,Autopsy Performed,Date of Disease Progression,Date of Disease Progression,Disease Progression Determined By,Last Gemcitabine Administration Date,Last Gemcitabine Administration Date,Randomization Date/Time,Randomization Date/Time,Randomization Number,Randomization Number
EMD_NCT01016483_1_mek,SUPPDS,QVAL,Data Value,Char,246,0,02002,06015,2013-01-24,2013-05-16T10:21,2013-06-28T13:55,2013-08-08,2013-11-06,CLINICAL ASSESSMENT,N,RADIOLOGIC ASSESSMENT,Y
EMD_NCT01016483_1_mek,SUPPDS,QORIG,Origin,Char,246,0,CRF,CRF,CRF,CRF,CRF,CRF,CRF,IRT IVRS,IRT IVRS,IRT IVRS,IRT IVRS
EMD_NCT01016483_1_mek,SUPPDS,QEVAL,Evaluator,Char,0,246,,,,,,,,,,,
EMD_NCT01016483_1_mek,SUPPDV,STUDYID,Study Identifier,Char,52,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SUPPDV,RDOMAIN,Related Domain Abbreviation,Char,52,0,DV,DV,DV,DV,DV,DV,DV,DV,DV,DV,DV
EMD_NCT01016483_1_mek,SUPPDV,USUBJID,Unique Subject Identifier,Char,52,0,6,23,31,31,39,39,39,41,44,44,44
EMD_NCT01016483_1_mek,SUPPDV,IDVAR,Identifying Variable,Char,52,0,DVSEQ,DVSEQ,DVSEQ,DVSEQ,DVSEQ,DVSEQ,DVSEQ,DVSEQ,DVSEQ,DVSEQ,DVSEQ
EMD_NCT01016483_1_mek,SUPPDV,IDVARVAL,Identifying Variable Value,Char,52,0,1,16,34,34,34,4,41,5,6,65,7
EMD_NCT01016483_1_mek,SUPPDV,QNAM,Qualifier Variable Name,Char,52,0,DVTERM1,DVTERM1,DVTERM1,DVTERM1,DVTERM1,DVTERM14,DVTERM2,DVTERM2,DVTERM3,DVTERM4,DVTERM9
EMD_NCT01016483_1_mek,SUPPDV,QLABEL,Qualifier Variable Label,Char,52,0,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term,Protocol Deviation Term
EMD_NCT01016483_1_mek,SUPPDV,QVAL,Data Value,Char,52,0,- EVENING DOSE AT 18:00 - 17-FEB-2013: MORNING DOSE AT 06:00 - EVENING DOSE AT 18:00 - 18-FEB-2013: MORNING DOSE AT 06:10 - EVENING DOSE AT 18:00 - 19-FEB-2013: MORNING DOSE AT 06:00 - EVENING DOSE,06:50 - EVENING DOSE AT 19:00 - 03-MAR-2013: MORNING DOSE AT 07:00 - EVENING DOSE AT 19:00 - 04-MAR-2013: MORNING DOSE AT 06:50 - EVENING DOSE AT 19:00 - 05-MAR-2013: MORNING DOSE AT 06:50 - EVENING,10-MAR-2013: MORNING DOSE AT 07:00 - EVENING DOSE AT 19:00 - 11-MAR-2013: MORNING DOSE AT 06:30 - EVENING DOSE AT 19:00 - 12-MAR-2013: MORNING DOSE AT 07:00 - EVENING DOSE AT 19:00 - 14-MAR-2013:,"21244, 21245 AND 21148. THE PATIENT TOOK 16 CAPSULES AND RETURNED 4. KIT NUMBER 21248 HAS NOT BEEN DISPENSED TO ANY PATIENT BUT IS STILL AT THE PHARMACY. THE ISSUE HAS BEEN DOCUMENTED IN A FILE NOTE",AND EVENING DOSE AT 20:00 04-JAN-2014: MORNING DOSE AT 09:00 AND EVENING DOSE AT 22:00 06-JAN-2014: MORNING DOSE AT 07:15 AND EVENING DOSE AT 20:30 09-JAN-2014: MORNING DOSE AT 09:30 AND EVENING DOSE,CAPSULES,DOSE AT 20:30 - 22-NOV-2013: MORNING DOSE AT 06:00 AND EVENING DOSE AT 23:00 - 23-NOV-2013: MORNING DOSE AT 09:30 AND EVENING DOSE AT 23:00,"HAVE BEEN 1700MG NOT 1800MG ADMINISTERED TO THE PATIENT. THIS ISSUE WAS RAISED WITH IAN PAMPHLETT, WHO SAID THAT HE WILL SPEAK WITH THE LEAD PHARMACIST TO CONFIRM AS IT COULD BE THAT THE SITE WAS",MORNING DOSE AT 07:10 - EVENING DOSE AT 19:30 - 28-FEB-2013: MORNING DOSE AT 06:30 - EVENING DOSE AT 19:30 - 01-MAR-2013: MORNING DOSE AT 06:30 - EVENING DOSE AT 19:00 - 02-MAR-2013: MORNING DOSE AT,SIGNED BY THE PHARMACIST AND BY THE PRINCIPAL INVESTIGATOR. CRA RE-TRAINED THE PHARMACIST AND A SITE STAFF TRAINING LOG HAS BEEN COMPLETED,WILL BE ASKED TO DESTROY THE SAMPLE.
EMD_NCT01016483_1_mek,SUPPDV,QORIG,Origin,Char,52,0,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL
EMD_NCT01016483_1_mek,SUPPDV,QEVAL,Evaluator,Char,0,52,,,,,,,,,,,
EMD_NCT01016483_1_mek,SUPPEG,STUDYID,Study Identifier,Char,1163,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SUPPEG,RDOMAIN,Related Domain Abbreviation,Char,1163,0,EG,EG,EG,EG,EG,EG,EG,EG,EG,EG,EG
EMD_NCT01016483_1_mek,SUPPEG,USUBJID,Unique Subject Identifier,Char,1163,0,1,5,9,14,21,24,27,34,37,41,44
EMD_NCT01016483_1_mek,SUPPEG,IDVAR,Identifying Variable,Char,1163,0,EGGRPID,EGGRPID,EGGRPID,EGGRPID,EGGRPID,EGGRPID,EGGRPID,EGGRPID,EGGRPID,EGGRPID,EGGRPID
EMD_NCT01016483_1_mek,SUPPEG,IDVARVAL,Identifying Variable Value,Char,1163,0,CYCLE 1 DAY 1 2012-11-26 1 HOUR POST DOSE ECG,CYCLE 1 DAY 1 2013-07-01 1 HOUR POST DOSE ECG,CYCLE 1 DAY 15 2013-07-18 1 HOUR POST DOSE ECG,CYCLE 1 DAY 22 2013-02-14 1 HOUR POST DOSE ECG,CYCLE 1 DAY 29 2013-04-11 PRE-DOSE ECG,CYCLE 1 DAY 36 2013-07-11 1 HOUR POST DOSE ECG,CYCLE 1 DAY 8 2013-01-31 4 HOURS POST DOSE ECG,CYCLE 12 DAY 1 2014-04-17 PRE-DOSE ECG,CYCLE 4 DAY 1 2013-06-13 PRE-DOSE ECG,MONOTHERAPY CYCLE 1 DAY 1 2013-03-29 PRE-DOSE ECG,UNSCHEDULED 2014-03-18 ECG
EMD_NCT01016483_1_mek,SUPPEG,QNAM,Qualifier Variable Name,Char,1163,0,PRECG,PRECG,PRECG,PRECG,PRECG,PRECG,PRECG,PRECG,PRECG,PRECG,PRECG
EMD_NCT01016483_1_mek,SUPPEG,QLABEL,Qualifier Variable Label,Char,1163,0,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs,Comparison of Previous ECGs
EMD_NCT01016483_1_mek,SUPPEG,QVAL,Data Value,Char,1163,0,COMPARISON NOT AVAILABLE,DETERIORATED,IMPROVED,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE,NO CHANGE
EMD_NCT01016483_1_mek,SUPPEG,QORIG,Origin,Char,1163,0,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL,EXTERNAL
EMD_NCT01016483_1_mek,SUPPEG,QEVAL,Evaluator,Char,0,1163,,,,,,,,,,,
EMD_NCT01016483_1_mek,SUPPEX,STUDYID,Study Identifier,Char,10979,0,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003,0200066003
EMD_NCT01016483_1_mek,SUPPEX,RDOMAIN,Related Domain Abbreviation,Char,10979,0,EX,EX,EX,EX,EX,EX,EX,EX,EX,EX,EX
EMD_NCT01016483_1_mek,SUPPEX,USUBJID,Unique Subject Identifier,Char,10979,0,1,5,5,8,17,21,26,33,37,40,44
EMD_NCT01016483_1_mek,SUPPEX,IDVAR,Identifying Variable,Char,10979,0,EXGRPID,EXSEQ,EXSEQ,EXSEQ,EXSEQ,EXSEQ,EXSEQ,EXSEQ,EXSEQ,EXSEQ,EXSEQ
EMD_NCT01016483_1_mek,SUPPEX,IDVARVAL,Identifying Variable Value,Char,10979,0,10,127,17,216,270,34,425,516,656,84,PLACEBO CYCLE 9
EMD_NCT01016483_1_mek,SUPPEX,QNAM,Qualifier Variable Name,Char,10979,0,ADJAE,RTDDPLAC,RTDDPLAC,RTDDPLAC,RTDDPLAC,RTDDPLAC,RTDDPLAC,RTDDPLAC,RTDDPLAC,RTDDPLAC,RTDDPLAC
